,,,,,,
1,2016-2017 RSO Event Representatives,50,,,,
2,Academy of Managed Care Pharmacy,50,,,,
3,Active Minds at University of Mississippi,50,,,,
4,African Caribbean Association,50,,,,
5,AllWalks@OleMiss,50,,,,
6,Alpha Delta Pi,50,,,,
7,Alpha Epsilon Delta Pre-Health Professionals Honors Society,50,,,,
8,Alpha Lambda Delta Honor Society,50,,,,
9,Alpha Omicron Pi,50,,,,
10,Alpha Phi,50,,,,
11,Alpha Phi Omega - Epsilon Omega Chapter,50,,,,
12,Alpha Phi Sigma The National Criminal Justice Honor Society,50,,,,
13,Alpha Psi Omega,50,,,,
14,Alpha Tau Omega,50,,,,
15,American Association of Pharmaceutical Scientists - UM Student Chapter,50,,,,
16,American Civil Liberties Union: The University of Mississippi School of Law,50,,,,
17,American College of Clinical Pharmacy,50,,,,
18,American College of Veterinary Pharmacists - Rebel Vets,50,,,,
19,American Constitution Society,50,,,,
20,American Marketing Association,50,,,,
21,American Medical Student Association,50,,,,
22,American Pharmacists Association-Academy of Student Pharmacists,50,,,,
23,American Society of Health-System Pharmacists,50,,,,
24,American Society of Mechanical Engineers,50,,,,
25,Arch Dalrymple III Department of History Graduate Association,50,,,,
26,Archery Club,50,,,,
27,Arnold Air Society,50,,,,
28,Arnold Air Society Al Key Squadron,50,,,,
29,Associated Student Body,50,,,,
30,Association of Computing Machinery,50,,,,
31,Association of Environmental & Engineering Geologists,50,,,,
32,Autism Speaks U Ole Miss,50,,,,
33,Autism UM,50,,,,
34,Badminton Club,50,,,,
35,Baptist Student Union,50,,,,
36,Bass Fishing Club,50,,,,
37,Beta Beta Beta Biological Honors Society,50,,,,
38,Beta Theta Pi,50,,,,
39,Beta Upsilon Chi,50,,,,
40,Biology Graduate Student Society,50,,,,
41,Biomedical Engineering Society,50,,,,
42,BioMolecular Sciences Journal Club,50,,,,
43,Black Graduate and Professional Student Association,50,,,,
44,Black Law Students Association-Constance Slaughter Harvey Chapter,50,,,,
45,Black Student Union,50,,,,
46,Business Law Network,50,,,,
47,Campus Crusade for Christ,50,,,,
48,Canterbury: Episcopal Church at Ole Miss,50,,,,
49,Catholic Campus Ministry,50,,,,
50,Center for Inclusion & Cross Cultural Engagement,50,,,,
51,Chess Club,50,,,,
52,Chi Alpha Christian Fellowship,50,,,,
53,Chi Epsilon - Civil Engineering Honor Society,50,,,,
54,Chi Omega,50,,,,
55,Chi Psi Fraternity,50,,,,
56,Christian Legal Society,50,,,,
57,Climbing Club,50,,,,
58,Club Baseball,50,,,,
59,Club Tennis,50,,,,
60,Coaching For Literacy,50,,,,
61,College Panhellenic Council,50,,,,
62,College Republicans,50,,,,
63,"Collegiate 100 - 100 Black Men of America, Inc.",50,,,,
64,Collegiate Automotive Manufacturing Society,50,,,,
65,Collegiate Recovery Community,50,,,,
66,Colonel Reb Foundation,50,,,,
67,Cricket Club,50,,,,
68,Cultural Connections Club,50,,,,
69,CURE International at Ole Miss,50,,,,
70,Cycling Club,50,,,,
71,Delta Delta Delta,50,,,,
72,Delta Delta Epsilon Forensic Honor Society,50,,,,
73,Delta Gamma,50,,,,
74,Delta Psi,50,,,,
75,"Delta Sigma Theta Sorority, Inc.-Lambda Sigma Chapter",50,,,,
76,Delta Theta Phi,50,,,,
77,Department of Campus Recreation,50,,,,
78,Disc Golf Club,50,,,,
79,"Educated, Successful, Talented, Evolving, Empowered, and Motivated",50,,,,
80,Enable MS,50,,,,
81,Engineering Student Body,50,,,,
82,"Engineers Without Borders - USA, Ole Miss Chapter",50,,,,
83,Entrepreneurship Club,50,,,,
84,Equestrian Club,50,,,,
85,Feed the Hunger,50,,,,
86,Feral University Rebel Rescuers,50,,,,
87,Forward Mississippi,50,,,,
88,Friendship Association of Chinese Students and Scholars,50,,,,
89,Gamma Beta Phi,50,,,,
90,Gamma Iota Sigma - Mu Chapter,50,,,,
91,Girl Up University of Mississippi,50,,,,
92,Global Brigades,50,,,,
93,Global China Connection - The University of Mississippi,50,,,,
94,Golden Key International Honor Society,50,,,,
95,Graduate Student Council,50,,,,
96,Graduate Student Social Work Organization,50,,,,
97,Haley Barbour Center for Manufacturing Excellence Student Advisory Board,50,,,,
98,Hand Band,50,,,,
99,Her Campus Ole MIss,50,,,,
100,Hip Hop Rebs,50,,,,
101,Ice Hockey Club,50,,,,
102,IMAGE,50,,,,
103,Indian Student Association,50,,,,
104,Intercultural Communication,50,,,,
105,Interfraternity Council,50,,,,
106,International & American Student Alliance,50,,,,
107,International Ladies Club,50,,,,
108,InterVarsity Christian Fellowship,50,,,,
109,InterVarsity Graduate Christian Fellowship,50,,,,
110,Iranian Student Association,50,,,,
111,John Quincy Adams Society,50,,,,
112,Kappa Alpha Order,50,,,,
113,Kappa Alpha Theta,50,,,,
114,Kappa Delta,50,,,,
115,Kappa Epsilon,50,,,,
116,Kappa Kappa Gamma,50,,,,
117,Kappa Psi Pharmaceutical Fraternity,50,,,,
118,LAMBDA,50,,,,
119,Lambda Sigma,50,,,,
120,Latin American Student Organization,50,,,,
121,Latter-Day Saints Student Association,50,,,,
122,Law Association of Women,50,,,,
123,Library Ambassadors,50,,,,
124,MedLIFE,50,,,,
125,Men of Excellence,50,,,,
126,Men's Club Basketball,50,,,,
127,Men's Club Soccer,50,,,,
128,Men's Club Volleyball,50,,,,
129,Men's Lacrosse Club,50,,,,
130,Men's Rugby Club,50,,,,
131,Men's Ultimate Frisbee Club,50,,,,
132,Minority Association of Pre-Medical Student,50,,,,
133,Mississippi Entertainment Law Organization,50,,,,
134,Mississippi Sports Law Review,50,,,,
135,Mississippi Sports Law Society,50,,,,
136,Mississippi Votes,50,,,,
137,Model United Nations,50,,,,
138,Mortar Board,50,,,,
139,MSync Training Organization,50,,,,
140,Muslim Students Association,50,,,,
141,National Association of Black Accountants,50,,,,
142,National Community Pharmacists Association,50,,,,
143,National Organization for the Professional Advancement of Black Chemists and Chemical Engineers,50,,,,
144,National Pan-Hellenic Council,50,,,,
145,National Society of Black Engineers,50,,,,
146,National Society of Collegiate Scholars,50,,,,
147,National Student Speech Language Hearing Association,50,,,,
148,National Stuttering Organization,50,,,,
149,Naval Reserve Officers Training Corps,50,,,,
150,Negotiation Board,50,,,,
